masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err      time_elapsed
9.82180e+02 1.00000e+00 1.09334e-02 1.20299e-02 7.62653e-04 3.33750e-04 9.32371e+04
1.76230e+03 -3.18090e-03 4.32967e-05 4.82569e-05 6.84457e-06 -6.55198e-07 9.32371e+04
2.91860e+03 -1.23820e-01 9.57396e-08 1.07231e-07 6.74001e-08 6.99337e-10 9.32371e+04
6.81010e+02 -1.86420e-03 3.58284e-02 3.94399e-02 2.20897e-03 1.18198e-04 9.32371e+04
4.40030e+02 -6.79010e-04 3.02914e-01 3.54272e-01 1.61782e-02 3.59423e-03 9.32371e+04
1.28650e+03 1.00000e+00 1.52244e-03 1.89507e-03 1.24092e-04 -4.26749e-05 9.32371e+04
6.32050e+02 2.77750e-01 4.91939e-02 5.72576e-02 2.79507e-03 1.41717e-03 9.32371e+04
1.49690e+03 1.74860e-03 1.90196e-04 2.09426e-04 2.27111e-05 8.94905e-06 9.32371e+04
8.70030e+02 6.54990e-02 8.78931e-03 1.05168e-02 6.43808e-04 4.75106e-04 9.32371e+04
1.35110e+03 9.99890e-01 1.00007e-03 1.23922e-03 9.11622e-05 -3.13224e-05 9.32371e+04
5.30200e+02 -2.11190e-02 1.25304e-01 1.47168e-01 5.96573e-03 2.43770e-03 9.32371e+04
4.18260e+02 -9.11370e-03 3.73780e-01 4.47116e-01 1.60886e-02 1.50277e-03 9.32371e+04
1.32530e+02 9.99990e-01 8.44435e+01 1.06289e+02 4.64129e+00 -4.46996e+00 9.32371e+04
5.31410e+02 9.99500e-01 3.15846e-01 3.68108e-01 1.53291e-02 -1.63185e-03 9.32371e+04
8.12810e+02 -5.96130e-03 1.33524e-02 1.56408e-02 8.27075e-04 2.21226e-04 9.32371e+04
1.23100e+03 1.00000e+00 2.32264e-03 2.50258e-03 2.02022e-04 -7.69160e-05 9.32371e+04
2.12310e+03 6.24150e-03 6.31925e-06 6.98484e-06 1.57635e-06 1.47853e-07 9.32371e+04
1.71140e+03 9.99920e-01 1.33259e-04 1.51747e-04 1.98226e-05 3.00169e-07 9.32371e+04
1.82270e+03 6.04350e-01 3.16825e-05 3.65605e-05 6.64274e-06 5.88987e-07 9.32371e+04
4.24970e+02 1.00000e+00 8.89312e-01 1.07284e+00 3.57495e-02 4.14153e-03 9.32371e+04
2.18110e+03 1.00000e+00 1.04176e-05 1.15615e-05 3.10841e-06 -2.30362e-07 9.32371e+04
1.67050e+03 4.50680e-03 7.20517e-05 7.76610e-05 1.08712e-05 -3.21235e-06 9.32371e+04
7.16140e+02 1.00000e+00 6.95114e-02 8.02860e-02 4.16381e-03 6.60859e-05 9.32371e+04
5.42340e+02 -5.67780e-03 1.12123e-01 1.32837e-01 5.16764e-03 -6.44335e-04 9.32371e+04
1.56280e+03 2.72970e-01 1.32024e-04 1.38387e-04 1.89692e-05 -3.91233e-06 9.32371e+04
7.50980e+02 1.19950e-02 2.20792e-02 2.57359e-02 1.49243e-03 -2.36503e-04 9.32371e+04
1.60390e+03 -2.88400e-03 1.07576e-04 1.16796e-04 1.45116e-05 4.04597e-07 9.32371e+04
6.88940e+02 2.38650e-01 3.11895e-02 3.71920e-02 2.08542e-03 5.26760e-05 9.32371e+04
1.18210e+03 9.99990e-01 2.97370e-03 3.36300e-03 2.51834e-04 -6.04245e-06 9.32371e+04
1.66620e+03 9.99920e-01 1.81015e-04 1.95536e-04 2.30643e-05 2.27786e-06 9.32371e+04
1.93850e+03 1.00000e+00 3.98926e-05 4.48071e-05 8.04009e-06 -1.11543e-07 9.32371e+04
1.09530e+03 3.58780e-04 2.04329e-03 2.37435e-03 1.80031e-04 -4.52420e-05 9.32371e+04
1.65650e+03 9.99980e-01 1.88319e-04 2.10058e-04 2.56443e-05 -1.46817e-05 9.32371e+04
4.68680e+02 1.11890e-05 2.19734e-01 2.67102e-01 1.21296e-02 -8.70217e-03 9.32371e+04
2.42930e+03 9.99960e-01 2.90145e-06 3.28988e-06 9.82730e-07 1.17866e-08 9.32371e+04
2.64460e+03 -6.93110e-03 4.15199e-07 4.45977e-07 1.99986e-07 -3.61457e-08 9.32371e+04
1.06400e+03 2.44880e-02 2.55533e-03 2.89804e-03 2.17976e-04 -5.71196e-05 9.32371e+04
7.43000e+02 2.92710e-02 2.14117e-02 2.44318e-02 1.44046e-03 5.04342e-04 9.32371e+04
1.43890e+03 5.71520e-03 2.56514e-04 3.03165e-04 3.05923e-05 5.32885e-06 9.32371e+04
6.15830e+02 9.99950e-01 1.55258e-01 1.76051e-01 7.47118e-03 3.59329e-03 9.32371e+04
1.13260e+03 9.99980e-01 4.15059e-03 4.55914e-03 2.73345e-04 5.99778e-05 9.32371e+04
9.30030e+02 1.73240e-03 5.87011e-03 7.08516e-03 5.15108e-04 1.05828e-06 9.32371e+04
1.77580e+03 -3.09380e-03 3.98503e-05 4.67988e-05 6.82109e-06 1.18638e-06 9.32371e+04
2.18560e+03 9.99990e-01 1.04131e-05 1.15384e-05 2.83858e-06 -4.10856e-07 9.32371e+04
9.99310e+02 9.99980e-01 9.55994e-03 1.07327e-02 7.21964e-04 -2.60126e-04 9.32371e+04
1.00670e+03 9.99980e-01 8.92400e-03 9.88632e-03 6.99486e-04 1.96293e-04 9.32371e+04
1.50930e+03 1.00000e+00 4.27182e-04 4.86980e-04 4.76757e-05 9.34921e-06 9.32371e+04
1.65340e+03 1.00000e+00 1.89718e-04 2.07957e-04 2.61391e-05 -2.58366e-06 9.32371e+04
1.33010e+03 9.99960e-01 1.20676e-03 1.32844e-03 1.34168e-04 -4.30735e-05 9.32371e+04
2.79060e+03 -2.21920e-03 1.95249e-07 2.08620e-07 1.10983e-07 -5.90902e-09 9.32371e+04
8.29250e+02 2.17920e-02 1.17798e-02 1.38352e-02 7.77001e-04 5.70267e-04 9.32371e+04
3.23470e+03 3.45870e-03 2.16176e-08 2.33144e-08 1.35555e-08 -2.13629e-09 9.32371e+04
6.26170e+02 6.41300e-03 5.59788e-02 6.51168e-02 2.98170e-03 -3.18056e-04 9.32371e+04
3.83370e+02 1.17030e-02 5.58533e-01 6.51689e-01 2.96771e-02 -6.05238e-03 9.32371e+04
1.77490e+03 9.96800e-01 9.80422e-05 1.06048e-04 1.55863e-05 -1.81296e-06 9.32371e+04
