masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
6.81010e+02 3.60108e-02 3.19146e-02 4.00743e-02 4.02194e-02 3.14096e-02 5.15707e-02
4.40030e+02 3.01726e-01 2.85927e-01 3.19376e-01 3.47891e-01 2.66723e-01 4.57207e-01
1.28650e+03 6.35852e-04 5.62307e-04 7.27915e-04 7.10468e-04 5.64468e-04 8.52686e-04
6.32050e+02 5.25474e-02 4.84489e-02 5.76827e-02 5.94081e-02 4.60548e-02 7.59605e-02
1.49690e+03 1.84035e-04 1.69672e-04 2.19238e-04 2.04057e-04 1.63395e-04 2.55595e-04
8.70030e+02 8.66798e-03 8.03282e-03 9.73425e-03 9.90666e-03 8.02858e-03 1.23542e-02
1.35110e+03 4.21421e-04 3.91941e-04 5.00881e-04 4.81081e-04 3.71714e-04 6.21835e-04
5.30200e+02 1.26734e-01 1.15718e-01 1.36332e-01 1.46495e-01 1.11297e-01 1.87001e-01
4.18260e+02 3.72162e-01 3.49287e-01 3.93672e-01 4.54733e-01 3.25121e-01 5.74565e-01
1.32530e+02 3.03708e+01 3.09247e+01 3.00705e+01 4.31784e+01 2.55150e+01 5.81014e+01
5.31410e+02 1.25724e-01 1.16268e-01 1.32972e-01 1.42972e-01 1.11398e-01 1.86351e-01
8.12810e+02 1.32867e-02 1.21314e-02 1.48983e-02 1.49195e-02 1.19391e-02 1.86271e-02
1.23100e+03 8.65209e-04 7.83081e-04 1.02002e-03 9.79013e-04 7.69010e-04 1.22502e-03
2.12310e+03 6.28754e-06 5.47203e-06 7.33498e-06 6.69512e-06 5.21002e-06 8.69478e-06
1.71140e+03 5.78918e-05 5.04155e-05 6.56964e-05 6.13113e-05 5.01847e-05 7.88437e-05
1.82270e+03 3.14984e-05 2.65952e-05 3.66720e-05 3.26000e-05 2.61887e-05 4.26841e-05
4.24970e+02 3.48865e-01 3.26520e-01 3.68037e-01 4.03833e-01 3.17183e-01 5.30534e-01
2.18110e+03 4.50471e-06 3.81758e-06 5.52660e-06 4.97938e-06 3.89352e-06 6.44200e-06
1.67050e+03 7.20352e-05 6.30183e-05 8.32520e-05 7.70807e-05 6.17467e-05 9.82259e-05
7.16140e+02 2.78950e-02 2.51020e-02 2.89139e-02 3.01841e-02 2.37891e-02 3.80074e-02
5.42340e+02 1.12304e-01 1.06898e-01 1.21741e-01 1.27940e-01 1.00184e-01 1.66011e-01
1.56280e+03 1.30180e-04 1.13220e-04 1.45628e-04 1.40835e-04 1.08689e-04 1.82178e-04
7.50980e+02 2.11631e-02 1.94304e-02 2.32919e-02 2.28703e-02 1.90355e-02 2.91232e-02
1.60390e+03 1.03408e-04 9.20522e-05 1.17001e-04 1.11650e-04 8.90770e-05 1.42752e-04
6.88940e+02 3.25456e-02 2.99003e-02 3.61708e-02 3.81055e-02 2.96547e-02 4.84369e-02
1.18210e+03 1.18318e-03 1.08328e-03 1.30094e-03 1.31096e-03 1.00468e-03 1.65637e-03
1.66620e+03 7.46138e-05 6.39661e-05 8.37457e-05 7.76048e-05 6.20527e-05 1.02788e-04
1.93850e+03 1.68286e-05 1.44784e-05 1.93931e-05 1.80469e-05 1.42161e-05 2.27600e-05
1.09530e+03 2.04563e-03 1.89247e-03 2.29978e-03 2.26910e-03 1.80802e-03 2.80983e-03
1.65650e+03 7.55835e-05 6.76480e-05 9.16479e-05 8.48789e-05 6.59751e-05 1.06530e-04
4.68680e+02 2.25044e-01 2.13126e-01 2.40569e-01 2.60786e-01 2.03284e-01 3.37483e-01
2.42930e+03 1.23037e-06 1.07369e-06 1.45532e-06 1.33626e-06 1.06529e-06 1.72557e-06
2.64460e+03 4.13645e-07 3.39483e-07 4.75064e-07 4.29753e-07 3.41360e-07 5.51169e-07
1.06400e+03 2.45294e-03 2.18934e-03 2.82410e-03 2.64745e-03 2.08226e-03 3.47860e-03
7.43000e+02 2.14017e-02 1.97317e-02 2.39377e-02 2.52693e-02 1.93786e-02 3.20201e-02
1.43890e+03 2.70169e-04 2.26709e-04 2.99249e-04 2.85319e-04 2.24056e-04 3.63626e-04
6.15830e+02 5.91389e-02 5.53074e-02 6.31333e-02 6.76731e-02 5.35444e-02 8.72411e-02
1.13260e+03 1.61967e-03 1.48445e-03 1.78468e-03 1.77471e-03 1.40757e-03 2.19489e-03
9.30030e+02 6.05537e-03 5.45778e-03 6.55388e-03 6.39627e-03 5.06860e-03 8.39396e-03
1.77580e+03 4.02406e-05 3.43379e-05 4.65050e-05 4.36854e-05 3.50244e-05 5.48187e-05
