masses    LO_data    NLO_data
1.80000e+02 2.78248e+01 3.51843e+01
3.00000e+02 3.89951e+00 4.79906e+00
3.80000e+02 1.46581e+00 1.74398e+00
8.00000e+01 4.71243e+02 6.11430e+02
1.80000e+02 2.73903e+01 3.47442e+01
3.00000e+02 3.99799e+00 4.72121e+00
3.80000e+02 1.49372e+00 1.77049e+00
1.20000e+02 1.18991e+02 1.48279e+02
2.00000e+02 1.85285e+01 2.33517e+01
3.00000e+02 3.99693e+00 4.68132e+00
3.80000e+02 1.48196e+00 1.74799e+00
1.20000e+02 1.16983e+02 1.48678e+02
2.00000e+02 1.90031e+01 2.30410e+01
2.80000e+02 5.20201e+00 6.30439e+00
3.80000e+02 1.46870e+00 1.79452e+00
1.00000e+02 2.28887e+02 2.84854e+02
1.60000e+02 4.28352e+01 5.27108e+01
2.60000e+02 6.97206e+00 8.44576e+00
3.60000e+02 1.87255e+00 2.19473e+00
1.00000e+02 2.19682e+02 2.85699e+02
1.60000e+02 4.23210e+01 5.28045e+01
2.80000e+02 5.19313e+00 6.25723e+00
3.80000e+02 1.48050e+00 1.74737e+00
1.20000e+02 1.17889e+02 1.48038e+02
1.60000e+02 4.20328e+01 5.27221e+01
2.60000e+02 6.99180e+00 8.51590e+00
3.80000e+02 1.49020e+00 1.75664e+00
8.00000e+01 4.78852e+02 6.29112e+02
1.60000e+02 4.24917e+01 5.35173e+01
2.80000e+02 5.26661e+00 6.26628e+00
3.80000e+02 1.47950e+00 1.75127e+00
1.40000e+02 6.98325e+01 8.73768e+01
1.60000e+02 4.28190e+01 5.27087e+01
2.60000e+02 7.16329e+00 8.34283e+00
3.60000e+02 1.86388e+00 2.22068e+00
8.00000e+01 4.67345e+02 6.07108e+02
1.60000e+02 4.22493e+01 5.39632e+01
2.60000e+02 7.05027e+00 8.59711e+00
3.80000e+02 1.47762e+00 1.76589e+00
8.00000e+01 4.74614e+02 6.32547e+02
1.40000e+02 6.85705e+01 8.58103e+01
2.40000e+02 9.40943e+00 1.17243e+01
3.60000e+02 1.83432e+00 2.20703e+00
1.20000e+02 1.16559e+02 1.49320e+02
1.60000e+02 4.21547e+01 5.25248e+01
2.80000e+02 5.23420e+00 6.29253e+00
3.80000e+02 1.47798e+00 1.74728e+00
