masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
2.81480e+03 3.77318e-07 3.22430e-07 4.50945e-07 3.88214e-07 3.11240e-07 5.07009e-07
6.44550e+02 1.23126e-01 1.10823e-01 1.33716e-01 1.37922e-01 1.03943e-01 1.76639e-01
2.82750e+03 3.52488e-07 3.03246e-07 4.21804e-07 3.79951e-07 2.83132e-07 4.90616e-07
1.16780e+03 3.30334e-03 2.93030e-03 3.64961e-03 3.43744e-03 2.75771e-03 4.52695e-03
7.16480e+02 6.92382e-02 6.45547e-02 7.45702e-02 7.88068e-02 5.83774e-02 9.91632e-02
2.39670e+03 3.39777e-06 2.78877e-06 3.98594e-06 3.42195e-06 2.79585e-06 4.56275e-06
1.26130e+03 1.84746e-03 1.64793e-03 2.09847e-03 1.94028e-03 1.54757e-03 2.53530e-03
2.41110e+03 3.10268e-06 2.65190e-06 3.68033e-06 3.19984e-06 2.60464e-06 4.29367e-06
2.34390e+03 4.52027e-06 3.74868e-06 5.09169e-06 4.74257e-06 3.57136e-06 6.15672e-06
3.27520e+03 3.92572e-08 3.32725e-08 4.65890e-08 4.24812e-08 3.34192e-08 5.61134e-08
1.90170e+03 4.80803e-05 4.18888e-05 5.72666e-05 5.00527e-05 3.86555e-05 6.53590e-05
2.24290e+03 7.61474e-06 6.30926e-06 8.86690e-06 7.99725e-06 5.86133e-06 1.04645e-05
1.94580e+03 3.78947e-05 3.33399e-05 4.38743e-05 3.93751e-05 3.05105e-05 5.22154e-05
1.06910e+03 6.16376e-03 5.38883e-03 6.64311e-03 6.50872e-03 5.13446e-03 8.53218e-03
1.45520e+03 5.94198e-04 5.37900e-04 6.82252e-04 6.07960e-04 5.00230e-04 8.05093e-04
1.32380e+03 1.26996e-03 1.16278e-03 1.41688e-03 1.35135e-03 1.07094e-03 1.71836e-03
2.14890e+02 1.44072e+01 1.43238e+01 1.48283e+01 1.83749e+01 1.22776e+01 2.53969e+01
1.70090e+03 1.45107e-04 1.30440e-04 1.70048e-04 1.60164e-04 1.21253e-04 1.97500e-04
3.01060e+03 1.41843e-07 1.18627e-07 1.66903e-07 1.46081e-07 1.17112e-07 1.96504e-07
2.35560e+03 4.19502e-06 3.69611e-06 4.89051e-06 4.28758e-06 3.35457e-06 5.77092e-06
3.40260e+03 2.20192e-08 1.88150e-08 2.62614e-08 2.38673e-08 1.93795e-08 3.07943e-08
2.58030e+03 1.27447e-06 1.06776e-06 1.53165e-06 1.33290e-06 1.05704e-06 1.69937e-06
4.04700e+02 1.12277e+00 1.06799e+00 1.17569e+00 1.32503e+00 9.93754e-01 1.78998e+00
9.36370e+02 1.43109e-02 1.27977e-02 1.59802e-02 1.60762e-02 1.26742e-02 2.00504e-02
6.09060e+02 1.61404e-01 1.50669e-01 1.76468e-01 1.86648e-01 1.47518e-01 2.42967e-01
2.09360e+03 1.70391e-05 1.45899e-05 1.98054e-05 1.76719e-05 1.40169e-05 2.29194e-05
2.97620e+03 1.65999e-07 1.40208e-07 2.03941e-07 1.74275e-07 1.41568e-07 2.25394e-07
1.62060e+03 2.32360e-04 1.97965e-04 2.65891e-04 2.49997e-04 1.90128e-04 3.15689e-04
1.18390e+03 2.96592e-03 2.54783e-03 3.33738e-03 3.18799e-03 2.56753e-03 3.98088e-03
1.79290e+03 8.50496e-05 7.44434e-05 1.01346e-04 9.21645e-05 7.10569e-05 1.23573e-04
1.00810e+03 8.78600e-03 8.03080e-03 9.79849e-03 9.86742e-03 7.59776e-03 1.22987e-02
3.47720e+03 1.59498e-08 1.37979e-08 1.92720e-08 1.75336e-08 1.40797e-08 2.24517e-08
2.54400e+03 1.60115e-06 1.33418e-06 1.82457e-06 1.61101e-06 1.26358e-06 2.14423e-06
3.44640e+02 2.24526e+00 2.13296e+00 2.35327e+00 2.71729e+00 1.90066e+00 3.60441e+00
