masses      stau_mix      LO_data      LO_err      NLO_data      NLO_err      Alpha_err      time_elapsed
3.02390e+03 1.00000e+00 1.31178e-07 0.00000e+00 1.47727e-07 7.87397e-08 -7.99258e-09 1.09633e+05
2.94000e+03 1.00000e+00 1.88946e-07 0.00000e+00 2.23687e-07 1.10373e-07 -2.82935e-08 1.09633e+05
1.21320e+03 1.00000e+00 2.56077e-03 0.00000e+00 2.69205e-03 2.61110e-04 4.23034e-05 1.09633e+05
2.49680e+02 1.00000e+00 8.22649e+00 0.00000e+00 9.92235e+00 4.93999e-01 -3.99234e-01 1.09633e+05
1.67130e+03 1.00000e+00 1.72297e-04 0.00000e+00 1.90050e-04 2.45335e-05 1.05552e-05 1.09633e+05
9.37510e+02 1.00000e+00 1.39570e-02 0.00000e+00 1.69755e-02 1.14281e-03 1.51398e-04 1.09633e+05
3.14540e+03 1.00000e+00 7.16799e-08 0.00000e+00 7.97865e-08 4.24614e-08 -4.47460e-09 1.09633e+05
4.45020e+02 1.00000e+00 7.49036e-01 0.00000e+00 8.58432e-01 3.99934e-02 -4.41816e-03 1.09633e+05
1.70350e+03 1.00000e+00 1.46416e-04 0.00000e+00 1.56552e-04 2.18760e-05 3.36284e-06 1.09633e+05
2.33920e+03 1.00000e+00 4.65588e-06 0.00000e+00 5.05988e-06 1.61838e-06 -3.06062e-07 1.09633e+05
9.94780e+02 1.00000e+00 9.41012e-03 0.00000e+00 1.06825e-02 8.43399e-04 -3.37143e-04 1.09633e+05
2.37320e+03 1.00000e+00 3.82302e-06 0.00000e+00 4.21900e-06 1.35712e-06 -2.90898e-07 1.09633e+05
1.62800e+03 1.00000e+00 2.14143e-04 0.00000e+00 2.47687e-04 2.67327e-05 -7.41584e-06 1.09633e+05
3.10450e+03 1.00000e+00 9.12257e-08 0.00000e+00 9.62094e-08 4.52520e-08 -1.09642e-08 1.09633e+05
3.49240e+03 1.00000e+00 1.46255e-08 0.00000e+00 1.60701e-08 8.62960e-09 -2.62372e-09 1.09633e+05
1.63790e+03 1.00000e+00 2.14143e-04 0.00000e+00 2.34380e-04 3.13860e-05 1.65157e-06 1.09633e+05
3.16540e+02 1.00000e+00 3.14180e+00 0.00000e+00 3.72925e+00 2.07748e-01 3.27921e-02 1.09633e+05
1.59610e+03 1.00000e+00 2.61902e-04 0.00000e+00 2.87803e-04 3.53723e-05 8.60371e-07 1.09633e+05
9.50920e+02 1.00000e+00 1.21458e-02 0.00000e+00 1.53142e-02 1.08620e-03 4.83280e-05 1.09633e+05
3.42220e+03 1.00000e+00 2.07002e-08 0.00000e+00 2.24045e-08 1.15052e-08 -1.50089e-09 1.09633e+05
3.21120e+03 1.00000e+00 5.32047e-08 0.00000e+00 5.80856e-08 3.01253e-08 -4.62643e-09 1.09633e+05
1.93410e+03 1.00000e+00 4.03597e-05 0.00000e+00 4.52626e-05 9.46421e-06 1.51815e-06 1.09633e+05
2.29590e+03 1.00000e+00 5.47913e-06 0.00000e+00 6.36794e-06 1.90065e-06 -3.79710e-07 1.09633e+05
5.83700e+02 1.00000e+00 2.03582e-01 0.00000e+00 2.36164e-01 1.15577e-02 3.67037e-03 1.09633e+05
2.00550e+03 1.00000e+00 2.69752e-05 0.00000e+00 3.02531e-05 6.45764e-06 -2.05452e-07 1.09633e+05
3.39060e+03 1.00000e+00 2.34655e-08 0.00000e+00 2.48842e-08 1.40334e-08 -3.59606e-09 1.09633e+05
6.34100e+02 1.00000e+00 1.32192e-01 0.00000e+00 1.52762e-01 8.28674e-03 -3.73670e-03 1.09633e+05
3.41660e+03 1.00000e+00 2.06167e-08 0.00000e+00 2.27313e-08 1.17314e-08 -2.53143e-09 1.09633e+05
1.73290e+03 1.00000e+00 1.23374e-04 0.00000e+00 1.30041e-04 1.97640e-05 -5.41173e-06 1.09633e+05
6.34770e+02 1.00000e+00 1.28113e-01 0.00000e+00 1.54221e-01 8.37690e-03 -9.93961e-04 1.09633e+05
2.03680e+03 1.00000e+00 2.30815e-05 0.00000e+00 2.53666e-05 5.42756e-06 5.94357e-07 1.09633e+05
6.56120e+02 1.00000e+00 1.07391e-01 0.00000e+00 1.27809e-01 7.79308e-03 4.31197e-05 1.09633e+05
2.37010e+03 1.00000e+00 3.83679e-06 0.00000e+00 4.20244e-06 1.25367e-06 -1.49440e-07 1.09633e+05
6.56080e+02 1.00000e+00 1.13836e-01 0.00000e+00 1.26695e-01 6.91728e-03 8.19051e-04 1.09633e+05
2.29810e+03 1.00000e+00 5.52155e-06 0.00000e+00 6.17039e-06 1.78607e-06 -9.34462e-08 1.09633e+05
2.13400e+03 1.00000e+00 1.35567e-05 0.00000e+00 1.48942e-05 3.33903e-06 -5.21470e-07 1.09633e+05
2.39940e+03 1.00000e+00 3.35661e-06 0.00000e+00 3.64533e-06 1.13975e-06 -1.30458e-07 1.09633e+05
1.14890e+03 1.00000e+00 3.81618e-03 0.00000e+00 4.18243e-03 3.69625e-04 -3.70405e-04 1.09633e+05
3.23840e+03 1.00000e+00 4.79896e-08 0.00000e+00 5.07465e-08 2.54725e-08 -8.08442e-09 1.09633e+05
1.24250e+03 1.00000e+00 2.04344e-03 0.00000e+00 2.29690e-03 1.90138e-04 2.07220e-05 1.09633e+05
3.76150e+02 1.00000e+00 1.52182e+00 0.00000e+00 1.90163e+00 8.43601e-02 -5.59070e-02 1.09633e+05
2.74660e+03 1.00000e+00 5.43995e-07 0.00000e+00 5.80412e-07 2.41344e-07 -4.29596e-08 1.09633e+05
2.42820e+03 1.00000e+00 2.79051e-06 0.00000e+00 3.22925e-06 1.02432e-06 -1.84197e-07 1.09633e+05
2.81480e+03 1.00000e+00 3.87299e-07 0.00000e+00 4.28808e-07 1.91746e-07 -2.80267e-08 1.09633e+05
6.44550e+02 1.00000e+00 1.18098e-01 0.00000e+00 1.39828e-01 8.43784e-03 9.49782e-03 1.09633e+05
2.82750e+03 1.00000e+00 3.42974e-07 0.00000e+00 3.74876e-07 1.71757e-07 -2.55883e-08 1.09633e+05
1.16780e+03 1.00000e+00 3.24776e-03 0.00000e+00 3.62435e-03 2.75340e-04 1.52247e-05 1.09633e+05
7.16480e+02 1.00000e+00 6.79916e-02 0.00000e+00 8.04701e-02 4.35039e-03 1.52881e-03 1.09633e+05
2.39670e+03 1.00000e+00 3.31312e-06 0.00000e+00 3.65923e-06 1.18139e-06 -6.49939e-08 1.09633e+05
1.26130e+03 1.00000e+00 1.87701e-03 0.00000e+00 2.04613e-03 1.91322e-04 -9.42218e-05 1.09633e+05
2.41110e+03 1.00000e+00 3.03543e-06 0.00000e+00 3.37516e-06 1.07372e-06 -8.25548e-08 1.09633e+05
2.34390e+03 1.00000e+00 4.48974e-06 0.00000e+00 4.85024e-06 1.33033e-06 -2.26087e-07 1.09633e+05
3.27520e+03 1.00000e+00 3.92606e-08 0.00000e+00 4.37684e-08 2.13053e-08 -6.44861e-09 1.09633e+05
1.90170e+03 1.00000e+00 4.76815e-05 0.00000e+00 5.41184e-05 9.40703e-06 -3.71187e-06 1.09633e+05
2.24290e+03 1.00000e+00 7.47724e-06 0.00000e+00 8.49063e-06 2.32107e-06 -4.64204e-07 1.09633e+05
1.94580e+03 1.00000e+00 3.77113e-05 0.00000e+00 4.26471e-05 7.37801e-06 -1.17995e-06 1.09633e+05
1.06910e+03 1.00000e+00 5.88055e-03 0.00000e+00 6.71965e-03 4.93267e-04 1.67177e-04 1.09633e+05
1.45520e+03 1.00000e+00 5.86964e-04 0.00000e+00 6.52740e-04 7.10554e-05 3.47101e-05 1.09633e+05
1.32380e+03 1.00000e+00 1.26879e-03 0.00000e+00 1.34639e-03 1.47561e-04 -4.56725e-06 1.09633e+05
2.14890e+02 1.00000e+00 1.40914e+01 0.00000e+00 1.77896e+01 8.41442e-01 3.12080e-01 1.09633e+05
1.70090e+03 1.00000e+00 1.45102e-04 0.00000e+00 1.58654e-04 1.99684e-05 1.73453e-06 1.09633e+05
3.01060e+03 1.00000e+00 1.45563e-07 0.00000e+00 1.52779e-07 7.41735e-08 -1.93901e-08 1.09633e+05
2.35560e+03 1.00000e+00 4.23888e-06 0.00000e+00 4.79892e-06 1.38309e-06 3.54945e-08 1.09633e+05
3.40260e+03 1.00000e+00 2.15834e-08 0.00000e+00 2.42975e-08 1.14820e-08 -1.91694e-09 1.09633e+05
2.58030e+03 1.00000e+00 1.27256e-06 0.00000e+00 1.40800e-06 4.95099e-07 -6.13913e-08 1.09633e+05
4.04700e+02 1.00000e+00 1.10091e+00 0.00000e+00 1.34296e+00 5.45226e-02 -7.12794e-02 1.09633e+05
9.36370e+02 1.00000e+00 1.44852e-02 0.00000e+00 1.57957e-02 1.33376e-03 3.00103e-04 1.09633e+05
6.09060e+02 1.00000e+00 1.62693e-01 0.00000e+00 1.87951e-01 9.53985e-03 7.23576e-03 1.09633e+05
2.09360e+03 1.00000e+00 1.68676e-05 0.00000e+00 1.88789e-05 4.48316e-06 1.34952e-07 1.09633e+05
2.97620e+03 1.00000e+00 1.61209e-07 0.00000e+00 1.81490e-07 9.56596e-08 -4.24343e-09 1.09633e+05
1.62060e+03 1.00000e+00 2.29384e-04 0.00000e+00 2.63987e-04 3.02293e-05 -1.11374e-06 1.09633e+05
1.18390e+03 1.00000e+00 2.92278e-03 0.00000e+00 3.17141e-03 2.87604e-04 1.35710e-04 1.09633e+05
1.79290e+03 1.00000e+00 9.08433e-05 0.00000e+00 9.91852e-05 1.47049e-05 3.85723e-06 1.09633e+05
1.00810e+03 1.00000e+00 8.85672e-03 0.00000e+00 1.01762e-02 7.98236e-04 -1.42861e-03 1.09633e+05
3.47720e+03 1.00000e+00 1.59202e-08 0.00000e+00 1.74808e-08 1.00936e-08 -2.28118e-09 1.09633e+05
2.54400e+03 1.00000e+00 1.52783e-06 0.00000e+00 1.72201e-06 5.74538e-07 -2.03228e-08 1.09633e+05
3.44640e+02 1.00000e+00 2.21825e+00 0.00000e+00 2.62003e+00 1.39156e-01 1.60654e-02 1.09633e+05
3.11490e+03 1.00000e+00 8.61525e-08 0.00000e+00 9.52453e-08 5.14899e-08 -9.37541e-09 1.09633e+05
3.44190e+03 1.00000e+00 1.94112e-08 0.00000e+00 2.06352e-08 1.02673e-08 -2.65150e-09 1.09633e+05
2.73220e+03 1.00000e+00 5.82174e-07 0.00000e+00 6.29989e-07 2.62300e-07 -2.43949e-08 1.09633e+05
8.18670e+02 1.00000e+00 3.15768e-02 0.00000e+00 3.62239e-02 2.48666e-03 1.44328e-03 1.09633e+05
1.16870e+03 1.00000e+00 3.01652e-03 0.00000e+00 3.55415e-03 2.81159e-04 2.67975e-05 1.09633e+05
8.73380e+02 1.00000e+00 2.19076e-02 0.00000e+00 2.47526e-02 1.60355e-03 -6.18844e-04 1.09633e+05
3.09140e+03 1.00000e+00 9.40505e-08 0.00000e+00 1.02117e-07 5.45962e-08 -4.48704e-09 1.09633e+05
2.01370e+03 1.00000e+00 2.61894e-05 0.00000e+00 2.93949e-05 6.49384e-06 2.92449e-07 1.09633e+05
2.28920e+03 1.00000e+00 6.07593e-06 0.00000e+00 6.55713e-06 1.92157e-06 -1.99766e-07 1.09633e+05
1.16870e+03 1.00000e+00 3.24760e-03 0.00000e+00 3.76567e-03 2.71156e-04 -3.69584e-05 1.09633e+05
2.75910e+03 1.00000e+00 5.15728e-07 0.00000e+00 5.45926e-07 2.33410e-07 -4.03383e-08 1.09633e+05
9.81940e+02 1.00000e+00 1.04052e-02 0.00000e+00 1.18008e-02 8.36847e-04 2.29887e-05 1.09633e+05
1.70250e+03 1.00000e+00 1.43684e-04 0.00000e+00 1.61679e-04 2.17966e-05 2.62907e-06 1.09633e+05
3.21620e+03 1.00000e+00 5.20317e-08 0.00000e+00 5.80271e-08 2.97609e-08 -9.19428e-09 1.09633e+05
1.30070e+03 1.00000e+00 1.49093e-03 0.00000e+00 1.62270e-03 1.53054e-04 -8.99145e-06 1.09633e+05
2.64710e+03 1.00000e+00 8.92614e-07 0.00000e+00 1.00508e-06 3.94125e-07 -1.26972e-09 1.09633e+05
3.67570e+02 1.00000e+00 1.69157e+00 0.00000e+00 2.00942e+00 9.82342e-02 5.42614e-03 1.09633e+05
9.85350e+02 1.00000e+00 9.78208e-03 0.00000e+00 1.19901e-02 8.13584e-04 3.52691e-04 1.09633e+05
2.32440e+02 1.00000e+00 1.09929e+01 0.00000e+00 1.30468e+01 5.70381e-01 8.77480e-03 1.09633e+05
1.55930e+03 1.00000e+00 3.22989e-04 0.00000e+00 3.67779e-04 4.20081e-05 2.27930e-05 1.09633e+05
1.12500e+03 1.00000e+00 4.00271e-03 0.00000e+00 4.90600e-03 4.11739e-04 -1.49257e-05 1.09633e+05
8.83720e+02 1.00000e+00 2.05356e-02 0.00000e+00 2.26881e-02 1.85343e-03 -5.97142e-04 1.09633e+05
1.89050e+03 1.00000e+00 5.07476e-05 0.00000e+00 5.83413e-05 1.04820e-05 -3.57185e-06 1.09633e+05
