masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err
3.16870e+03 1.00000e+00 2.90112e-08 3.14212e-08 1.94351e-08 -2.84194e-09
1.01880e+03 1.00000e+00 3.31940e-03 3.66379e-03 2.43457e-04 2.16171e-05
2.15540e+03 1.00000e+00 5.37782e-06 5.92519e-06 1.45117e-06 2.92744e-08
1.03950e+03 1.00000e+00 2.97609e-03 3.34541e-03 2.04006e-04 -7.71984e-05
2.17640e+03 1.00000e+00 4.90664e-06 5.30646e-06 1.28149e-06 -7.19970e-08
2.97410e+03 1.00000e+00 7.68543e-08 8.28727e-08 4.83648e-08 -5.19176e-09
8.13260e+02 1.00000e+00 1.30318e-02 1.52013e-02 7.91137e-04 -7.33645e-04
1.02760e+03 1.00000e+00 3.25605e-03 3.53472e-03 2.37980e-04 -1.26858e-04
2.36500e+03 1.00000e+00 1.74587e-06 1.95571e-06 5.63582e-07 -8.01020e-08
2.04040e+03 1.00000e+00 9.81290e-06 1.11049e-05 2.30863e-06 -2.76274e-07
2.66020e+03 1.00000e+00 3.74019e-07 4.03250e-07 1.87991e-07 -2.17097e-08
2.30510e+03 1.00000e+00 2.44468e-06 2.61925e-06 7.35308e-07 -3.33852e-08
9.39760e+02 1.00000e+00 5.61712e-03 6.51243e-03 3.90000e-04 -5.22584e-05
1.68250e+03 1.00000e+00 6.90539e-05 7.80780e-05 1.04276e-05 7.87875e-07
2.48550e+03 1.00000e+00 9.08903e-07 1.03734e-06 3.80162e-07 5.73863e-10
1.80730e+03 1.00000e+00 3.45247e-05 4.03315e-05 5.89057e-06 -5.72666e-07
2.00230e+03 1.00000e+00 1.23217e-05 1.36254e-05 2.76476e-06 -2.25526e-07
1.78270e+03 1.00000e+00 3.93343e-05 4.32516e-05 6.71440e-06 1.18579e-06
5.64760e+02 1.00000e+00 9.17602e-02 1.13500e-01 4.49664e-03 -1.42211e-03
8.01670e+02 1.00000e+00 1.40024e-02 1.71384e-02 9.18642e-04 -5.11088e-04
4.86830e+02 1.00000e+00 1.91376e-01 2.24361e-01 7.81797e-03 1.31028e-04
1.35700e+03 1.00000e+00 4.11776e-04 4.71626e-04 4.20994e-05 -4.70607e-06
1.85140e+03 1.00000e+00 2.70558e-05 3.02200e-05 4.98259e-06 1.16873e-07
2.53660e+02 1.00000e+00 2.96463e+00 3.50044e+00 1.03379e-01 2.79022e-02
2.69720e+03 1.00000e+00 3.10868e-07 3.35535e-07 1.63239e-07 -1.08664e-08
8.79870e+02 1.00000e+00 8.52561e-03 9.78267e-03 5.86981e-04 -2.67474e-04
1.70810e+03 1.00000e+00 5.80821e-05 6.60585e-05 9.56944e-06 -3.24558e-07
3.49330e+03 1.00000e+00 6.50364e-09 7.14072e-09 4.99318e-09 -9.25888e-10
1.43600e+03 1.00000e+00 2.71865e-04 3.01911e-04 2.78720e-05 -1.08467e-05
3.25580e+03 1.00000e+00 1.91480e-08 2.14421e-08 1.29735e-08 -1.78612e-09
1.90980e+03 1.00000e+00 1.94956e-05 2.21628e-05 4.00867e-06 -4.09402e-07
6.25270e+02 1.00000e+00 5.45441e-02 6.59475e-02 2.93917e-03 4.43031e-04
1.50510e+03 1.00000e+00 1.78856e-04 2.03996e-04 2.01982e-05 -8.29444e-07
8.94250e+02 1.00000e+00 7.63818e-03 8.79708e-03 4.62138e-04 2.19517e-04
3.49770e+03 1.00000e+00 6.68608e-09 7.01390e-09 4.79155e-09 -7.87892e-10
2.42750e+03 1.00000e+00 1.22183e-06 1.37887e-06 4.70717e-07 -1.63895e-08
1.16280e+03 1.00000e+00 1.34588e-03 1.55661e-03 1.12155e-04 4.02870e-06
2.22240e+03 1.00000e+00 3.60610e-06 3.92397e-06 1.07420e-06 -1.26846e-07
1.61460e+03 1.00000e+00 1.01389e-04 1.11919e-04 1.40569e-05 -2.29393e-06
