masses    NLO_data
2.60000e+02 8.41169e+00
3.40000e+02 2.79584e+00
1.00000e+02 2.81585e+02
1.60000e+02 5.19737e+01
2.60000e+02 8.63355e+00
3.60000e+02 2.17134e+00
6.00000e+01 1.77244e+03
1.80000e+02 3.35216e+01
2.60000e+02 8.34590e+00
3.60000e+02 2.20597e+00
6.00000e+01 1.82955e+03
1.80000e+02 3.35992e+01
2.60000e+02 8.63198e+00
3.60000e+02 2.20376e+00
6.00000e+01 1.81941e+03
1.80000e+02 3.29305e+01
2.80000e+02 6.44390e+00
3.60000e+02 2.22261e+00
1.40000e+02 8.38069e+01
1.60000e+02 5.07299e+01
2.60000e+02 8.18008e+00
3.60000e+02 2.12504e+00
8.00000e+01 6.50239e+02
1.80000e+02 3.44895e+01
3.00000e+02 4.90553e+00
3.80000e+02 1.70305e+00
8.00000e+01 6.30753e+02
1.80000e+02 3.36167e+01
3.00000e+02 4.76789e+00
3.80000e+02 1.69343e+00
1.20000e+02 1.52633e+02
2.00000e+02 2.25107e+01
3.00000e+02 4.74254e+00
3.80000e+02 1.73270e+00
1.20000e+02 1.57214e+02
2.00000e+02 2.35962e+01
2.80000e+02 6.31620e+00
3.80000e+02 1.75116e+00
1.00000e+02 2.81598e+02
1.60000e+02 5.48164e+01
2.60000e+02 8.53338e+00
3.60000e+02 2.08019e+00
1.00000e+02 2.71401e+02
1.60000e+02 5.22727e+01
2.80000e+02 6.69470e+00
3.80000e+02 1.70205e+00
1.20000e+02 1.47190e+02
1.60000e+02 5.35103e+01
2.60000e+02 8.13070e+00
3.80000e+02 1.74216e+00
8.00000e+01 6.31600e+02
1.60000e+02 5.20371e+01
2.80000e+02 6.22703e+00
3.80000e+02 1.77134e+00
1.40000e+02 8.64774e+01
1.60000e+02 5.29288e+01
2.60000e+02 8.60167e+00
3.60000e+02 2.15761e+00
8.00000e+01 6.40441e+02
1.60000e+02 5.45009e+01
2.60000e+02 8.26459e+00
3.80000e+02 1.73391e+00
8.00000e+01 6.03571e+02
1.40000e+02 8.58541e+01
2.40000e+02 1.11454e+01
3.60000e+02 2.21955e+00
1.20000e+02 1.48466e+02
1.60000e+02 5.28295e+01
2.80000e+02 6.17620e+00
3.80000e+02 1.76069e+00
1.00000e+02 2.74748e+02
1.80000e+02 3.37386e+01
3.00000e+02 4.73088e+00
3.80000e+02 1.71799e+00
6.00000e+01 1.80337e+03
1.60000e+02 5.39294e+01
2.60000e+02 8.21880e+00
3.60000e+02 2.14524e+00
8.00000e+01 6.16399e+02
2.00000e+02 2.32493e+01
3.00000e+02 4.85143e+00
3.80000e+02 1.73505e+00
8.00000e+01 6.11120e+02
1.80000e+02 3.32298e+01
2.80000e+02 6.18278e+00
3.80000e+02 1.72523e+00
8.00000e+01 6.65034e+02
2.00000e+02 2.31473e+01
3.00000e+02 4.73706e+00
3.80000e+02 1.79404e+00
8.00000e+01 6.33285e+02
1.60000e+02 5.25250e+01
2.60000e+02 8.52896e+00
3.40000e+02 2.78547e+00
1.40000e+02 8.08041e+01
1.60000e+02 5.14056e+01
2.60000e+02 8.29080e+00
3.60000e+02 2.15431e+00
8.00000e+01 5.67822e+02
2.20000e+02 1.60332e+01
3.00000e+02 4.65845e+00
4.00000e+02 1.43961e+00
6.00000e+01 1.63745e+03
2.20000e+02 1.55524e+01
3.00000e+02 4.51196e+00
3.80000e+02 1.70051e+00
6.00000e+01 1.87458e+03
2.20000e+02 1.58999e+01
3.20000e+02 3.69988e+00
4.00000e+02 1.42051e+00
6.00000e+01 1.74935e+03
2.20000e+02 1.57032e+01
3.00000e+02 4.74246e+00
4.00000e+02 1.38928e+00
1.40000e+02 8.49679e+01
1.60000e+02 5.33890e+01
2.60000e+02 8.36656e+00
3.80000e+02 1.68970e+00
6.00000e+01 1.79612e+03
2.20000e+02 1.64172e+01
3.20000e+02 3.54323e+00
4.00000e+02 1.40031e+00
1.40000e+02 8.61795e+01
2.20000e+02 1.67121e+01
3.00000e+02 4.77428e+00
4.00000e+02 1.34370e+00
1.40000e+02 8.85864e+01
