masses    LO_data
3.20000e+02 3.07397e+00
1.20000e+02 1.19200e+02
2.40000e+02 9.21585e+00
3.40000e+02 2.37589e+00
8.00000e+01 4.87802e+02
2.40000e+02 9.26956e+00
3.40000e+02 2.38038e+00
1.20000e+02 1.19066e+02
2.40000e+02 9.39114e+00
3.40000e+02 2.43992e+00
1.20000e+02 1.24785e+02
2.40000e+02 9.66089e+00
3.20000e+02 3.06518e+00
1.00000e+02 2.23418e+02
2.40000e+02 9.51135e+00
3.40000e+02 2.33721e+00
1.00000e+02 2.25896e+02
2.40000e+02 9.45359e+00
3.40000e+02 2.35624e+00
1.20000e+02 1.14441e+02
1.60000e+02 4.46371e+01
2.60000e+02 7.14430e+00
3.80000e+02 1.45237e+00
8.00000e+01 4.63376e+02
1.80000e+02 2.83089e+01
2.80000e+02 5.15168e+00
3.80000e+02 1.47141e+00
1.00000e+02 2.12696e+02
2.00000e+02 1.85176e+01
3.00000e+02 4.05549e+00
4.00000e+02 1.17329e+00
1.00000e+02 2.12803e+02
2.20000e+02 1.27210e+01
3.00000e+02 3.82935e+00
4.00000e+02 1.18297e+00
1.40000e+02 7.17510e+01
1.60000e+02 4.34194e+01
2.60000e+02 6.88388e+00
3.40000e+02 2.39481e+00
1.40000e+02 6.81873e+01
2.20000e+02 1.30559e+01
3.00000e+02 3.95942e+00
4.00000e+02 1.21826e+00
1.20000e+02 1.14180e+02
2.00000e+02 1.90604e+01
3.00000e+02 3.86478e+00
4.00000e+02 1.17245e+00
1.20000e+02 1.19624e+02
2.00000e+02 1.90391e+01
3.00000e+02 3.85090e+00
4.00000e+02 1.18514e+00
1.20000e+02 1.16742e+02
2.00000e+02 1.87438e+01
3.00000e+02 3.99460e+00
4.00000e+02 1.14977e+00
1.00000e+02 2.21102e+02
2.00000e+02 1.88360e+01
3.00000e+02 4.04715e+00
4.00000e+02 1.14549e+00
1.40000e+02 6.96427e+01
1.40000e+02 6.88927e+01
2.40000e+02 9.60043e+00
3.40000e+02 2.34603e+00
1.20000e+02 1.19249e+02
1.60000e+02 4.24456e+01
2.40000e+02 9.50409e+00
3.40000e+02 2.39374e+00
6.00000e+01 1.29794e+03
1.40000e+02 6.85388e+01
2.40000e+02 9.45331e+00
3.40000e+02 2.31767e+00
1.00000e+02 2.21053e+02
1.60000e+02 4.24490e+01
2.60000e+02 6.99093e+00
3.60000e+02 1.86883e+00
1.20000e+02 1.13024e+02
1.60000e+02 4.13331e+01
2.60000e+02 6.91348e+00
3.60000e+02 1.86141e+00
6.00000e+01 1.43321e+03
1.60000e+02 4.22368e+01
2.60000e+02 7.16007e+00
3.40000e+02 2.31564e+00
1.00000e+02 2.16246e+02
1.60000e+02 4.13701e+01
2.60000e+02 6.82345e+00
3.60000e+02 1.81636e+00
6.00000e+01 1.34156e+03
1.80000e+02 2.81327e+01
2.60000e+02 6.99470e+00
3.60000e+02 1.91003e+00
6.00000e+01 1.34750e+03
1.80000e+02 2.85291e+01
2.60000e+02 6.92418e+00
3.60000e+02 1.82598e+00
6.00000e+01 1.38592e+03
1.80000e+02 2.84820e+01
2.80000e+02 5.21099e+00
3.60000e+02 1.85575e+00
1.40000e+02 6.73208e+01
1.60000e+02 4.30419e+01
2.60000e+02 7.05569e+00
