file                  m1000011      m1000015      m2000015      staumix11     2000015_-2000015_13000_LO_test 2000015_-2000015_13000_NLO_1_relerr 2000015_-2000015_13000_NLO_1 2000015_-2000015_13000_NLO_05 2000015_-2000015_13000_NLO_2 2000015_-2000015_13000_NLO_pdf 2000015_-2000015_13000_NLO_aup 2000015_-2000015_13000_NLO_adn 
114_1.slha 1.00000e+02   1.00000e+02   1.50000e+02   0.00000e+00   5.34820e+01   7.55940e-04   6.37190e+01   6.49680e+01   6.28860e+01   1.18800e+00   6.33270e+01   6.40000e+01  
114_2.slha 1.60000e+02   1.60000e+02   3.10000e+02   5.00000e-01   2.32430e+00   7.75370e-04   2.68470e+00   2.74200e+00   2.63410e+00   6.89390e-02   2.67950e+00   2.68340e+00  
114_3.slha 2.80000e+02   2.80000e+02   4.30000e+02   1.00000e+00   3.35160e-01   7.78180e-04   3.85450e-01   3.93790e-01   3.77130e-01   1.20670e-02   3.85590e-01   3.84390e-01  
114_4.slha 3.80000e+02   3.80000e+02   5.30000e+02   0.00000e+00   3.24360e-01   7.73300e-04   3.73460e-01   3.81780e-01   3.64510e-01   1.35480e-02   3.74000e-01   3.71820e-01  
115_1.slha 8.00000e+01   8.00000e+01   2.30000e+02   3.75000e-01   8.92880e+00   7.69480e-04   1.04120e+01   1.06310e+01   1.02390e+01   2.28680e-01   1.03730e+01   1.04280e+01  
115_2.slha 1.80000e+02   1.80000e+02   2.30000e+02   3.75000e-01   8.92880e+00   7.69480e-04   1.04120e+01   1.06310e+01   1.02390e+01   2.28680e-01   1.03730e+01   1.04280e+01  
115_3.slha 3.00000e+02   3.00000e+02   3.00000e+02   2.50000e-01   3.58500e+00   7.73980e-04   4.14390e+00   4.23230e+00   4.06670e+00   1.03890e-01   4.13470e+00   4.14280e+00  
115_4.slha 4.00000e+02   4.00000e+02   4.00000e+02   1.25000e-01   1.15320e+00   7.75720e-04   1.32670e+00   1.35540e+00   1.29870e+00   3.98060e-02   1.32610e+00   1.32360e+00  
116_1.slha 6.00000e+01   6.00000e+01   2.10000e+02   6.25000e-01   8.36710e+00   7.68890e-04   9.79730e+00   1.00020e+01   9.64200e+00   2.14160e-01   9.75680e+00   9.81800e+00  
116_2.slha 1.80000e+02   1.80000e+02   2.30000e+02   2.50000e-01   1.01290e+01   7.69090e-04   1.18110e+01   1.20600e+01   1.16150e+01   2.57890e-01   1.17660e+01   1.18290e+01  
116_3.slha 3.00000e+02   3.00000e+02   3.50000e+02   3.75000e-01   1.67940e+00   7.75870e-04   1.93510e+00   1.97660e+00   1.89670e+00   5.32860e-02   1.93270e+00   1.93250e+00  
