masses    LO_data    NLO_data
3.30000e+02 3.75000e-01 2.16016e+00 1.23558e+00
4.80000e+02 2.50000e-01 4.75207e-01 2.56342e-01
1.90000e+02 3.75000e-01 1.80695e+01 1.10395e+01
2.60000e+02 8.75000e-01 2.52884e+00 5.55142e+00
3.60000e+02 3.75000e-01 1.48991e+00 8.83793e-01
4.60000e+02 3.75000e-01 5.06181e-01 3.01500e-01
2.30000e+02 7.50000e-01 4.75093e+00 6.72924e+00
3.10000e+02 8.75000e-01 1.24436e+00 2.76789e+00
4.10000e+02 6.25000e-01 5.80327e-01 5.17106e-01
4.30000e+02 1.00000e+00 3.32815e-01 9.68296e-01
1.80000e+02 6.12323e-17 2.78918e+01 1.48349e+01
2.90000e+02 1.00000e+00 1.76930e+00 5.33093e+00
3.90000e+02 7.50000e-01 5.67580e-01 7.82787e-01
3.60000e+02 1.00000e+00 7.25757e-01 2.12422e+00
1.20000e+02 2.50000e-01 1.04328e+02 5.94423e+01
2.60000e+02 5.00000e-01 4.62060e+00 3.27211e+00
3.30000e+02 8.75000e-01 9.61463e-01 2.13271e+00
4.80000e+02 3.75000e-01 4.18687e-01 2.39971e-01
1.50000e+02 8.75000e-01 1.85369e+01 4.42846e+01
3.30000e+02 7.50000e-01 1.15106e+00 1.59694e+00
3.00000e+02 3.75000e-01 3.18713e+00 1.83652e+00
5.30000e+02 1.25000e-01 3.16268e-01 1.59377e-01
1.10000e+02 6.12323e-17 1.60533e+02 8.84108e+01
2.10000e+02 6.12323e-17 1.60828e+01 8.43845e+00
2.60000e+02 8.75000e-01 2.53084e+00 5.60641e+00
4.10000e+02 5.00000e-01 7.17041e-01 4.91165e-01
2.30000e+02 1.00000e+00 4.24653e+00 1.29621e+01
2.50000e+02 7.50000e-01 3.44697e+00 4.87935e+00
3.50000e+02 6.25000e-01 1.11135e+00 1.02804e+00
5.30000e+02 8.75000e-01 1.21535e-01 2.56866e-01
2.30000e+02 8.75000e-01 4.03345e+00 8.98785e+00
2.30000e+02 8.75000e-01 3.97874e+00 8.91288e+00
4.30000e+02 8.75000e-01 3.15249e-01 6.86670e-01
4.80000e+02 8.75000e-01 1.92945e-01 4.11816e-01
1.80000e+02 3.75000e-01 2.23857e+01 1.33522e+01
2.00000e+02 8.75000e-01 6.54253e+00 1.54309e+01
3.50000e+02 5.00000e-01 1.41054e+00 9.76417e-01
5.30000e+02 5.00000e-01 2.15241e-01 1.49632e-01
8.00000e+01 1.00000e+00 1.68979e+02 5.75276e+02
1.60000e+02 8.75000e-01 1.50828e+01 3.45856e+01
3.10000e+02 6.12323e-17 3.47324e+00 1.78292e+00
4.90000e+02 6.25000e-01 2.56444e-01 2.30819e-01
2.40000e+02 6.25000e-01 5.08648e+00 4.83749e+00
3.10000e+02 3.75000e-01 2.78435e+00 1.60319e+00
3.60000e+02 6.25000e-01 1.00183e+00 9.28138e-01
5.10000e+02 2.50000e-01 3.50133e-01 1.87303e-01
1.80000e+02 5.00000e-01 1.84209e+01 1.30770e+01
2.20000e+02 7.50000e-01 5.54317e+00 7.99356e+00
4.00000e+02 1.25000e-01 1.15806e+00 5.90857e-01
4.00000e+02 6.25000e-01 6.38125e-01 5.92592e-01
1.60000e+02 3.75000e-01 3.39523e+01 2.00256e+01
2.20000e+02 6.12323e-17 1.33489e+01 7.06598e+00
3.50000e+02 1.25000e-01 2.03314e+00 1.07012e+00
5.30000e+02 6.25000e-01 1.77172e-01 1.56859e-01
6.00000e+01 1.00000e+00 4.64463e+02 1.66084e+03
2.20000e+02 6.25000e-01 7.14833e+00 6.55956e+00
3.20000e+02 7.50000e-01 1.29619e+00 1.82519e+00
5.50000e+02 6.12323e-17 2.68302e-01 1.35563e-01
1.10000e+02 6.25000e-01 8.19681e+01 7.76316e+01
2.70000e+02 1.00000e+00 2.31653e+00 6.90150e+00
4.50000e+02 2.50000e-01 6.30454e-01 3.39031e-01
4.50000e+02 6.12323e-17 6.99403e-01 3.61676e-01
2.40000e+02 1.25000e-01 9.24801e+00 4.94841e+00
2.60000e+02 7.50000e-01 2.92608e+00 4.18728e+00
4.10000e+02 8.75000e-01 3.88934e-01 8.45100e-01
3.80000e+02 6.12323e-17 1.49031e+00 7.58582e-01
6.00000e+01 6.25000e-01 5.76914e+02 5.47301e+02
3.20000e+02 1.25000e-01 2.99948e+00 1.56419e+00
3.20000e+02 6.25000e-01 1.60496e+00 1.54417e+00
5.00000e+02 2.50000e-01 3.92299e-01 2.05994e-01
1.40000e+02 2.50000e-01 6.32220e+01 3.54305e+01
3.20000e+02 6.12323e-17 3.06298e+00 1.58405e+00
4.00000e+02 7.50000e-01 5.07446e-01 7.03943e-01
4.50000e+02 2.50000e-01 6.34026e-01 3.35230e-01
1.90000e+02 6.12323e-17 2.23625e+01 1.21639e+01
2.70000e+02 8.75000e-01 2.20673e+00 4.84795e+00
4.50000e+02 1.25000e-01 6.74687e-01 3.51074e-01
4.50000e+02 6.25000e-01 3.80046e-01 3.43531e-01
1.50000e+02 3.75000e-01 4.30068e+01 2.57678e+01
3.70000e+02 6.12323e-17 1.67155e+00 8.44830e-01
3.20000e+02 1.25000e-01 2.95544e+00 1.55293e+00
5.00000e+02 6.25000e-01 2.34751e-01 2.12476e-01
6.00000e+01 2.50000e-01 1.20202e+03 6.78124e+02
3.10000e+02 6.25000e-01 1.87232e+00 1.71155e+00
4.10000e+02 7.50000e-01 4.52417e-01 6.33405e-01
5.30000e+02 3.75000e-01 2.62978e-01 1.51086e-01
1.40000e+02 6.12323e-17 6.90006e+01 3.71080e+01
3.50000e+02 5.00000e-01 1.41286e+00 9.77864e-01
4.50000e+02 8.75000e-01 2.55628e-01 5.55717e-01
5.00000e+02 1.25000e-01 4.19928e-01 2.17393e-01
1.40000e+02 5.00000e-01 4.51169e+01 3.22105e+01
2.30000e+02 7.50000e-01 4.70322e+00 6.80410e+00
3.00000e+02 1.25000e-01 3.91570e+00 2.00509e+00
4.00000e+02 7.50000e-01 5.13798e-01 7.01541e-01
6.00000e+01 1.25000e-01 1.32885e+03 7.17893e+02
1.80000e+02 6.25000e-01 1.46186e+01 1.39153e+01
3.80000e+02 8.75000e-01 5.49324e-01 1.17690e+00
4.00000e+02 6.12323e-17 1.19550e+00 6.09311e-01
1.00000e+02 6.25000e-01 1.11363e+02 1.08250e+02
2.10000e+02 6.25000e-01 8.22186e+00 7.96451e+00
3.10000e+02 1.25000e-01 3.38813e+00 1.78877e+00
3.60000e+02 2.50000e-01 1.67572e+00 9.07756e-01
1.20000e+02 3.75000e-01 9.39725e+01 5.59075e+01
3.00000e+02 1.25000e-01 3.92258e+00 2.03613e+00
3.80000e+02 2.50000e-01 1.34362e+00 7.23383e-01
3.80000e+02 8.75000e-01 5.39462e-01 1.15909e+00
1.50000e+02 1.00000e+00 2.02195e+01 6.33223e+01
1.60000e+02 1.25000e-01 4.18933e+01 2.26127e+01
3.90000e+02 6.25000e-01 7.03136e-01 6.41209e-01
4.90000e+02 8.75000e-01 1.75485e-01 3.69587e-01
2.20000e+02 7.50000e-01 5.62636e+00 7.95254e+00
1.80000e+02 1.25000e-01 2.75414e+01 1.49376e+01
2.80000e+02 6.25000e-01 2.82356e+00 2.58463e+00
5.10000e+02 5.00000e-01 2.60502e-01 1.84417e-01
1.40000e+02 1.25000e-01 6.70610e+01 3.67197e+01
3.30000e+02 6.25000e-01 1.43843e+00 1.32622e+00
3.60000e+02 8.75000e-01 6.80853e-01 1.47448e+00
4.10000e+02 2.50000e-01 9.56966e-01 5.20398e-01
1.50000e+02 1.25000e-01 5.25444e+01 2.87056e+01
1.80000e+02 3.75000e-01 2.20150e+01 1.35179e+01
3.80000e+02 7.50000e-01 6.26301e-01 8.78291e-01
5.50000e+02 3.75000e-01 2.18488e-01 1.27767e-01
1.00000e+02 7.50000e-01 8.39616e+01 1.28640e+02
3.30000e+02 5.00000e-01 1.78355e+00 1.23035e+00
4.30000e+02 7.50000e-01 3.66094e-01 5.09328e-01
5.50000e+02 5.00000e-01 1.82801e-01 1.24437e-01
2.30000e+02 1.25000e-01 1.09617e+01 5.78164e+00
2.30000e+02 5.00000e-01 7.36268e+00 5.34837e+00
4.30000e+02 6.12323e-17 8.46064e-01 4.35748e-01
5.00000e+02 6.12323e-17 4.27181e-01 2.20167e-01
2.30000e+02 5.00000e-01 7.44608e+00 5.30433e+00
2.50000e+02 6.12323e-17 8.08363e+00 4.22065e+00
3.80000e+02 5.00000e-01 9.74944e-01 6.93708e-01
5.50000e+02 1.25000e-01 2.65682e-01 1.33480e-01
1.60000e+02 7.50000e-01 1.75926e+01 2.55171e+01
2.10000e+02 2.50000e-01 1.41714e+01 7.84569e+00
3.60000e+02 7.50000e-01 7.86804e-01 1.12492e+00
3.80000e+02 1.25000e-01 1.43017e+00 7.62237e-01
1.30000e+02 3.75000e-01 7.02712e+01 4.26285e+01
3.90000e+02 2.50000e-01 1.19172e+00 6.34166e-01
4.40000e+02 1.00000e+00 3.01901e-01 8.81525e-01
8.00000e+01 6.12323e-17 4.77004e+02 2.64263e+02
3.40000e+02 8.75000e-01 8.72231e-01 1.86905e+00
4.40000e+02 5.00000e-01 5.18862e-01 3.60618e-01
8.00000e+01 5.00000e-01 2.93448e+02 2.21907e+02
3.90000e+02 6.12323e-17 1.32853e+00 6.80175e-01
4.40000e+02 7.50000e-01 3.33150e-01 4.58446e-01
2.30000e+02 6.12323e-17 1.11188e+01 5.94310e+00
3.50000e+02 1.00000e+00 8.05674e-01 2.40421e+00
4.00000e+02 6.25000e-01 6.38871e-01 5.87003e-01
4.50000e+02 5.00000e-01 4.76676e-01 3.19968e-01
8.00000e+01 6.25000e-01 2.22340e+02 2.16217e+02
3.90000e+02 1.25000e-01 1.28482e+00 6.68592e-01
4.40000e+02 8.75000e-01 2.85371e-01 6.12204e-01
1.30000e+02 7.50000e-01 3.51829e+01 5.33728e+01
3.40000e+02 1.00000e+00 9.28206e-01 2.71624e+00
4.40000e+02 6.25000e-01 4.11957e-01 3.84209e-01
1.90000e+02 2.50000e-01 2.09599e+01 1.15652e+01
2.50000e+02 3.75000e-01 6.46381e+00 3.76015e+00
1.40000e+02 8.75000e-01 2.36525e+01 5.60014e+01
2.80000e+02 7.50000e-01 2.19957e+00 3.07914e+00
1.40000e+02 3.75000e-01 5.44486e+01 3.31554e+01
2.00000e+02 3.75000e-01 1.50802e+01 9.01463e+00
1.50000e+02 5.00000e-01 3.58329e+01 2.49406e+01
3.10000e+02 1.00000e+00 1.34153e+00 4.02372e+00
3.60000e+02 6.12323e-17 1.85441e+00 9.72210e-01
4.90000e+02 1.00000e+00 1.85206e-01 5.31109e-01
6.00000e+01 7.50000e-01 4.26800e+02 7.05481e+02
2.80000e+02 3.75000e-01 4.18891e+00 2.48541e+00
2.80000e+02 1.25000e-01 5.13835e+00 2.67519e+00
4.60000e+02 1.00000e+00 2.42251e-01 7.17211e-01
1.10000e+02 3.75000e-01 1.26275e+02 7.80368e+01
2.80000e+02 2.50000e-01 4.76596e+00 2.55898e+00
2.80000e+02 2.50000e-01 4.74922e+00 2.55699e+00
5.10000e+02 1.25000e-01 3.80423e-01 1.93184e-01
2.90000e+02 3.75000e-01 3.65685e+00 2.15668e+00
3.50000e+02 6.25000e-01 1.12425e+00 1.04338e+00
3.50000e+02 1.00000e+00 8.10254e-01 2.40502e+00
4.50000e+02 3.75000e-01 5.54663e-01 3.26712e-01
1.90000e+02 1.00000e+00 8.73891e+00 2.69032e+01
2.00000e+02 6.12323e-17 1.89667e+01 9.96347e+00
3.80000e+02 1.25000e-01 1.42561e+00 7.48203e-01
4.00000e+02 3.75000e-01 9.58685e-01 5.53141e-01
2.70000e+02 3.75000e-01 4.89098e+00 2.85295e+00
2.60000e+02 3.75000e-01 5.62741e+00 3.36475e+00
3.60000e+02 5.00000e-01 1.26411e+00 8.50092e-01
4.60000e+02 1.25000e-01 6.16017e-01 3.22894e-01
6.00000e+01 8.75000e-01 3.47170e+02 1.00593e+03
3.50000e+02 6.12323e-17 2.14127e+00 1.07735e+00
3.30000e+02 2.50000e-01 2.46090e+00 1.31793e+00
5.10000e+02 3.75000e-01 3.16932e-01 1.84331e-01
1.10000e+02 1.25000e-01 1.53481e+02 8.52881e+01
3.30000e+02 8.75000e-01 9.64414e-01 2.12093e+00
3.80000e+02 3.75000e-01 1.19112e+00 6.87694e-01
5.30000e+02 1.00000e+00 1.25465e-01 3.59003e-01
1.60000e+02 1.25000e-01 4.16928e+01 2.25434e+01
2.50000e+02 5.00000e-01 5.37638e+00 3.87086e+00
4.30000e+02 2.50000e-01 7.80791e-01 4.13794e-01
4.80000e+02 7.50000e-01 2.26179e-01 3.10141e-01
1.60000e+02 5.00000e-01 2.80954e+01 1.98377e+01
3.30000e+02 1.00000e+00 1.03150e+00 3.09396e+00
4.10000e+02 5.00000e-01 7.14000e-01 4.98100e-01
3.80000e+02 5.00000e-01 1.00194e+00 6.74507e-01
