masses    LO_data    NLO_data
1.40000e+02 6.32697e+01 7.74621e+01
2.20000e+02 1.32744e+01 1.62836e+01
3.00000e+02 1.90021e+00 2.29177e+00
4.00000e+02 1.07286e+00 1.27045e+00
1.40000e+02 6.86364e+01 8.54265e+01
2.20000e+02 5.45633e+00 6.60358e+00
3.00000e+02 3.83812e+00 4.64882e+00
4.00000e+02 6.87342e-01 8.06719e-01
1.00000e+02 1.73993e+02 2.25798e+02
2.20000e+02 1.32212e+01 1.62721e+01
3.20000e+02 2.97872e+00 3.60524e+00
4.00000e+02 6.90999e-01 8.08985e-01
6.00000e+01 1.22062e+03 1.59125e+03
1.60000e+02 2.42780e+01 2.98524e+01
2.60000e+02 3.36258e+00 4.10498e+00
3.80000e+02 1.19276e+00 1.43892e+00
1.40000e+02 6.92670e+01 8.57298e+01
2.00000e+02 1.31268e+01 1.59129e+01
3.00000e+02 1.63445e+00 1.98020e+00
4.00000e+02 1.16923e+00 1.38146e+00
1.40000e+02 4.66454e+01 5.92096e+01
1.80000e+02 1.29135e+01 1.62598e+01
3.00000e+02 3.90432e+00 4.68377e+00
4.00000e+02 5.70220e-01 6.80096e-01
6.00000e+01 1.35597e+03 1.72621e+03
1.80000e+02 1.58822e+01 2.00348e+01
2.80000e+02 2.13773e+00 2.59058e+00
4.00000e+02 1.17076e+00 1.40560e+00
1.00000e+02 1.21703e+02 1.56556e+02
1.60000e+02 2.36275e+01 2.99635e+01
2.60000e+02 6.71506e+00 8.29386e+00
3.60000e+02 1.68959e+00 2.01787e+00
1.20000e+02 9.40711e+01 1.19240e+02
2.00000e+02 1.82142e+01 2.26362e+01
2.80000e+02 4.73984e+00 5.76817e+00
3.80000e+02 6.13806e-01 7.27360e-01
1.00000e+02 7.36729e+01 9.41235e+01
1.60000e+02 4.18857e+01 5.23652e+01
2.40000e+02 5.39992e+00 6.59424e+00
3.40000e+02 9.75202e-01 1.19123e+00
1.20000e+02 5.35792e+01 6.81086e+01
1.80000e+02 2.72250e+01 3.38075e+01
2.80000e+02 3.03722e+00 3.66909e+00
3.60000e+02 1.28455e+00 1.54968e+00
1.40000e+02 6.58828e+01 8.49632e+01
1.80000e+02 1.58611e+01 1.96805e+01
2.60000e+02 2.88008e+00 3.42286e+00
3.60000e+02 1.68901e+00 2.02760e+00
1.00000e+02 2.12905e+02 2.74573e+02
1.80000e+02 2.25109e+01 2.75915e+01
2.80000e+02 2.50396e+00 2.99832e+00
4.00000e+02 9.58561e-01 1.13592e+00
1.00000e+02 9.93808e+01 1.25328e+02
1.80000e+02 1.91385e+01 2.37046e+01
2.80000e+02 2.54581e+00 3.02064e+00
4.00000e+02 8.31082e-01 9.70214e-01
8.00000e+01 4.58956e+02 6.01078e+02
1.80000e+02 1.91231e+01 2.36578e+01
2.80000e+02 5.13386e+00 6.32800e+00
4.00000e+02 1.19905e+00 1.40252e+00
8.00000e+01 3.10151e+02 4.14008e+02
2.00000e+02 1.87649e+01 2.36539e+01
2.80000e+02 3.59440e+00 4.37530e+00
4.00000e+02 1.17901e+00 1.37859e+00
6.00000e+01 5.01181e+02 6.71973e+02
1.60000e+02 3.81948e+01 4.75131e+01
2.60000e+02 3.31628e+00 4.10822e+00
3.80000e+02 1.46042e+00 1.69784e+00
8.00000e+01 3.67218e+02 4.92264e+02
2.40000e+02 8.54952e+00 1.05219e+01
3.40000e+02 8.71648e-01 1.04360e+00
8.00000e+01 4.74817e+02 6.31655e+02
2.40000e+02 3.96801e+00 4.71517e+00
3.40000e+02 1.63647e+00 1.94497e+00
8.00000e+01 3.13691e+02 4.13193e+02
2.40000e+02 9.49337e+00 1.16438e+01
3.40000e+02 1.14402e+00 1.36168e+00
8.00000e+01 4.81865e+02 6.29610e+02
2.00000e+02 6.80021e+00 8.61055e+00
3.00000e+02 2.29405e+00 2.76756e+00
4.00000e+02 8.19032e-01 9.75117e-01
8.00000e+01 2.54356e+02 3.24262e+02
2.40000e+02 9.31021e+00 1.12432e+01
3.40000e+02 9.73849e-01 1.17218e+00
8.00000e+01 2.02317e+02 2.63604e+02
2.40000e+02 3.48244e+00 4.29553e+00
3.40000e+02 1.38026e+00 1.65315e+00
1.40000e+02 6.11114e+01 7.69854e+01
2.00000e+02 1.51042e+01 1.87873e+01
1.40000e+02 2.64869e+01 3.40031e+01
1.80000e+02 1.33067e+01 1.62983e+01
1.40000e+02 5.39395e+01 6.73389e+01
2.00000e+02 1.53874e+01 1.87131e+01
1.00000e+02 1.44860e+02 1.93015e+02
1.60000e+02 1.51804e+01 1.92020e+01
2.60000e+02 6.89576e+00 8.41692e+00
3.40000e+02 8.81657e-01 1.07189e+00
6.00000e+01 5.02355e+02 6.81717e+02
1.80000e+02 2.25796e+01 2.85584e+01
2.80000e+02 5.15901e+00 6.22251e+00
3.60000e+02 6.90606e-01 8.38221e-01
6.00000e+01 1.03189e+03 1.32026e+03
