masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err
2.68180e+03 1.39173e-01 3.34128e-07 3.61713e-07 1.64909e-07 -2.25236e-08
1.67660e+03 1.39173e-01 6.84979e-05 8.01369e-05 1.04123e-05 1.70533e-07
2.00370e+03 1.39173e-01 1.18499e-05 1.33006e-05 2.73673e-06 -3.53942e-07
2.76690e+03 1.39173e-01 2.14983e-07 2.38435e-07 1.35556e-07 -1.63329e-08
9.73640e+02 1.39173e-01 4.45138e-03 5.00860e-03 3.20791e-04 -3.00832e-05
2.37270e+03 1.39173e-01 1.71982e-06 1.76830e-06 5.59041e-07 -3.03587e-08
3.39870e+03 1.39173e-01 9.67516e-09 1.11383e-08 7.72542e-09 -1.08561e-09
3.51490e+03 1.39173e-01 5.65596e-09 6.55173e-09 4.82551e-09 -7.14293e-10
2.84990e+03 1.39173e-01 1.40557e-07 1.54460e-07 8.76835e-08 -3.30061e-09
2.30590e+03 1.39173e-01 2.40586e-06 2.60497e-06 7.87091e-07 -8.36956e-08
1.95210e+03 1.39173e-01 1.54574e-05 1.71724e-05 3.01086e-06 2.43695e-07
3.32320e+03 1.39173e-01 1.44547e-08 1.52996e-08 9.73305e-09 -1.02192e-09
3.14420e+03 1.39173e-01 3.35241e-08 3.58216e-08 2.15048e-08 -2.77043e-09
1.38390e+03 1.39173e-01 3.47789e-04 4.05725e-04 3.59931e-05 1.04951e-05
2.16240e+03 1.39173e-01 5.10016e-06 5.68515e-06 1.35215e-06 4.37985e-08
2.21070e+03 1.39173e-01 3.91995e-06 4.32031e-06 1.10566e-06 -1.04634e-07
2.74050e+03 1.39173e-01 2.41960e-07 2.75177e-07 1.41806e-07 -1.38174e-08
2.88400e+03 1.39173e-01 1.15434e-07 1.29650e-07 8.16546e-08 -6.51842e-09
2.68690e+03 1.39173e-01 3.27561e-07 3.52617e-07 1.74296e-07 -1.35129e-08
2.39390e+03 1.39173e-01 1.44962e-06 1.72279e-06 5.57821e-07 -2.43868e-08
2.29110e+03 1.39173e-01 2.65502e-06 2.84706e-06 8.09738e-07 -2.07821e-08
1.30230e+03 1.39173e-01 5.59380e-04 6.88656e-04 5.68414e-05 -1.18393e-05
2.30190e+03 1.39173e-01 2.33418e-06 2.79889e-06 7.26155e-07 -6.93947e-08
3.42680e+03 1.39173e-01 8.66395e-09 9.61444e-09 6.23844e-09 -1.30620e-09
2.27760e+03 1.39173e-01 2.82229e-06 3.03062e-06 8.80037e-07 -7.39382e-08
3.25990e+03 1.39173e-01 1.89205e-08 2.05421e-08 1.34883e-08 -1.43070e-09
3.43990e+03 1.39173e-01 8.34254e-09 9.05272e-09 6.27726e-09 -1.11806e-09
2.23590e+03 1.39173e-01 3.40304e-06 3.78486e-06 1.03769e-06 1.87744e-08
3.46770e+03 1.39173e-01 7.37799e-09 8.01259e-09 5.09856e-09 -9.23478e-10
1.35110e+03 1.39173e-01 4.28405e-04 4.97863e-04 4.22871e-05 -6.66119e-09
1.12910e+03 1.39173e-01 1.65792e-03 1.91696e-03 1.41495e-04 -8.43400e-06
1.88310e+03 1.39173e-01 2.18807e-05 2.52337e-05 4.48273e-06 1.32626e-07
2.43670e+03 1.39173e-01 1.20386e-06 1.33330e-06 4.58500e-07 -3.05731e-08
1.86060e+03 1.39173e-01 2.52050e-05 2.83021e-05 4.80089e-06 -4.86574e-08
2.71370e+03 1.39173e-01 2.83246e-07 3.15181e-07 1.47924e-07 -1.43060e-08
2.26250e+03 1.39173e-01 3.06711e-06 3.37132e-06 9.54002e-07 -7.88730e-08
3.11500e+03 1.39173e-01 3.67288e-08 4.15456e-08 2.44311e-08 -2.79661e-09
1.86250e+03 1.39173e-01 2.56082e-05 2.81034e-05 5.05529e-06 -4.33132e-07
